deviceid,timestamp,condition,order1_fftg,order1_fftv,order2_fftg,order2_fftv,order3_fftg,order3_fftv,order4_fftg,order4_fftv,order5_fftg,order5_fftv,order6_fftg,order6_fftv,order7_fftg,order7_fftv,order8_fftg,order8_fftv,speed,temperature
2_X,2020-03-11 11:22:19,normal,0.06980631156081905,7.064249385081232,0.010048787103410603,0.4938051142661703,0.17057743426699581,5.593551777477906,0.07371668263736679,1.8533786334539133,0.29397483200707286,5.8903954380713,0.7534857996301871,12.451228645805505,0.33898464707610904,4.857932171363673,0.10899248211242694,1.4378339708617982,661.5461120605469,29.715286254882812
1_X,2020-03-11 11:23:30,normal,0.03709570811509635,3.755960723812146,0.015334884199161581,0.7740385362615667,0.06150179835830851,2.033397988507177,0.027682474914557244,0.682680038501786,0.4335611961227227,8.689548286970476,0.9053679571034846,15.003386444813925,0.4233358506289037,5.982610031853605,0.1713191244772574,2.321874822838753,661.2999267578125,29.518850326538086
2_X,2020-03-11 11:24:41,normal,0.05942619396097842,6.0125350910705295,0.004654645336220655,0.2344185872036595,0.17190628199964322,5.651920347906277,0.08086033430550878,2.0285145188465354,0.28042482554208253,5.613735518926761,0.583623066755115,9.632820017750868,0.20091261097262306,2.8867341029611278,0.1307691336159776,1.6477032194146146,661.7706909179688,29.48200035095215
1_Y,2020-03-11 11:25:53,normal,0.03885117615927597,3.932603852939521,0.009675419394521177,0.4835316933911967,0.015007839339694951,0.48699170472043446,0.2122822413095495,5.31394201978249,0.16464150532299263,3.2964098373647968,0.09713648343925049,1.6062513009486228,0.18973520849776537,2.6755073296879504,0.08276038839669284,1.0852592578869609,661.6881713867188,29.48200035095215
2_X,2020-03-11 11:27:04,normal,0.11129247697256094,11.26448638128388,0.004712934561179899,0.2369489929236843,0.160488786439394,5.260464941215451,0.050614187775847815,1.2632969165338028,0.2936310429569144,5.8878540735805505,0.8753237618891537,14.46469343789996,0.3688130494024049,5.26270318642921,0.14634674534378225,1.9109904433014782,661.7469177246094,29.45744514465332
2_X,2020-03-11 11:28:15,normal,0.06253820830944141,6.328546255291536,0.018432281100824007,0.9195709283117653,0.1851932915747582,6.082950334536547,0.03642078967797636,0.8967944224702553,0.298359246020274,5.977616784048885,0.8001946254161189,13.200854803922248,0.6203085023778832,8.894089305785881,0.12653137481621188,1.596527819868675,661.7138061523438,29.445186614990234
2_X,2020-03-11 11:29:26,normal,0.10953421559540723,11.08602849217126,0.004488877133547551,0.2248168196144739,0.18919700798003802,6.2161020983540585,0.05616428068632465,1.4043163171165314,0.3258537876343118,6.522603972017565,0.6963364621225342,11.492642225393947,0.5342784985349004,7.63418560914321,0.14957661543140896,1.9227066899627256,661.796630859375,29.629362106323242
1_X,2020-03-11 11:30:37,normal,0.029358667659986504,2.9717166392394696,0.011248798259231967,0.5682448381664794,0.06160317469106464,2.046153713253499,0.048110036857175305,1.2072489601427348,0.39193934041176526,7.863033260924501,0.8784550468491946,14.56175856766245,0.3431369836017045,4.904217175796145,0.1459368059487123,1.9013328265070353,661.6806640625,29.445186614990234
2_X,2020-03-11 11:10:25,normal,0.09991797789285467,10.114159012506516,0.009143046764722265,0.4588298618815644,0.11975174909097731,3.914571680093347,0.06572032346823499,1.6443342022606902,0.3614159278769513,7.245148799846908,0.4683798322213926,7.719111895223375,0.4972039625135605,7.116087385630078,0.1964958090162551,2.4604848880394927,661.1730651855469,29.83809471130371
2_X,2020-03-11 11:31:48,normal,0.1081321027382084,10.94391573392716,0.0027008319117960626,0.13707595585183827,0.14024804941808514,4.608607496459737,0.08998636401398967,2.2404828862034387,0.3052502489940169,6.119369310601702,0.6577947061194037,10.847085778862951,0.4300400079037915,6.144382711666417,0.1555265355681617,2.0637402450777715,661.3531188964844,29.359228134155273
2_X,2020-03-11 11:32:59,normal,0.060739526462555794,6.146592141249512,0.009749198375725973,0.48233780921594605,0.1774835993787337,5.815187058576454,0.07242794341190706,1.8163096447116223,0.28291490572573175,5.671978217721241,0.8882111700691742,14.676262179525628,0.42941076564232256,6.161526455888949,0.1138423817695857,1.429096432997782,661.3660888671875,29.38378143310547
2_X,2020-03-11 11:11:36,normal,0.10956918314079309,11.089802497952528,0.00900226598052987,0.45093777714964783,0.14439875407985464,4.70459633977588,0.05054674760695048,1.2633782987817832,0.33903021145751777,6.809430304571816,0.7942105050597441,13.121801255175873,0.5737130536696387,8.191717421811775,0.1363507023356527,1.8091035516236613,660.8810119628906,29.801244735717773
2_X,2020-03-11 11:12:48,normal,0.10225829152910133,10.350023411939135,0.014704310069226473,0.729884307446538,0.17744055987126614,5.80344669235281,0.048397019881813434,1.2083935762225864,0.34116856894914543,6.846761151241509,0.68614644874752,11.339360625669249,0.4319807996809771,6.194684320216146,0.11921256181866795,1.5057572455990091,660.9911804199219,29.727581024169922
2_X,2020-03-11 11:13:59,normal,0.10902487913186035,11.03489248033001,0.0047999395288551025,0.24369626921636972,0.12649879265791608,4.132175596417045,0.0740301401154353,1.8539300053243442,0.3435755282480769,6.8855207317330045,0.4888337873569283,8.013164807128684,0.4226602418529027,6.059187669773227,0.17942307657088888,2.244412080144059,661.3440246582031,29.960866928100586
2_X,2020-03-11 11:15:10,normal,0.07640235862167029,7.731634873884162,0.011658442880369673,0.5798101977237662,0.15748720468872118,5.1413679698200845,0.05733608555861411,1.4421989433305265,0.3242696915933534,6.49014871104887,0.7172739696894451,11.832880147550128,0.46522764446434056,6.644618026182135,0.10736048365138293,1.3749194351035456,661.0077209472656,29.703025817871094
2_X,2020-03-11 11:16:22,normal,0.0635288996764591,6.428810118594147,0.009886301334459266,0.491583804543826,0.16091267660800437,5.275271659941743,0.07347690326647234,1.8422067390917105,0.3121329165394437,6.259117990880643,0.7415325886330365,12.253967058171346,0.3176676191850199,4.550415833537989,0.11298012748101852,1.3899065872739618,661.2817993164062,29.936311721801758
2_X,2020-03-11 11:17:34,normal,0.09278649798740815,9.390976400598571,0.007331560818720219,0.3714611992622649,0.16625488265373345,5.445962271054166,0.06694820859391837,1.6692876919889708,0.3091697445672103,6.206250447382571,0.7121826638302241,11.788186735740362,0.32433611440013943,4.607397130753106,0.16800911569159732,2.2271722061323462,661.2821655273438,29.629362106323242
2_X,2020-03-11 11:18:46,normal,0.11010991164402117,11.14455426701471,0.0110689739374351,0.5470655359207979,0.19156203631488633,6.27905779202006,0.04401844496524442,1.107242045537819,0.36411620252414734,7.299305171568708,0.7180628810536438,11.878414778395237,0.46091483811326184,6.574886396668613,0.08251898750024081,1.0983005073446652,661.399169921875,29.592514038085938
2_X,2020-03-11 12:02:40,SI,0.34460600447153067,34.87702320623979,0.011933324243770506,0.5935644540457796,0.09493046144063536,3.0870889755299094,0.14958924164497145,3.74860832689838,0.5684970288200886,11.419603339935797,0.45209667208662996,7.454721368614731,0.3465173042759492,4.934177355436119,0.20996265342081813,2.737284896556656,661.5758056640625,29.420631408691406
2_X,2020-03-11 12:13:22,SI,0.3559120559918394,36.02164318982145,0.017923161515300264,0.8911950417731788,0.1483046282123648,4.870745247413061,0.14457888056972845,3.620759690113419,0.6405636212547653,12.853286082821155,0.7079094777787367,11.735855281923445,0.4419863844397463,6.313593847292168,0.12228964983014753,1.5661718100691358,661.4625549316406,29.408336639404297
